epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
85,2705.22,1.33018,1.22877,2.62308,0.01363,0.49653,0.83109,0.70394,0.78204,0.41752,0.8527,0.72538,0.788,0.39076,1.58013,1.57294,3.16021,0.02248,0,0.00120491,0.00120491,0.00120491
86,2734.77,1.25024,1.14212,2.56104,0.01312,0.42341,0.81806,0.67625,0.75878,0.37981,0.86456,0.72172,0.79789,0.38509,1.74404,1.42626,3.19234,0.02528,0,0.00119941,0.00119941,0.00119941
87,2763.24,1.30583,1.28614,2.67024,0.01326,0.51813,0.80875,0.65439,0.7407,0.39179,0.84072,0.6795,0.75723,0.39896,1.68111,1.39388,3.63453,0.02345,0,0.00119391,0.00119391,0.00119391
88,2795.35,1.27378,1.16635,2.68589,0.01362,0.41843,0.75654,0.67959,0.72416,0.38918,0.75354,0.71315,0.74921,0.37479,1.59169,1.3375,3.99717,0.02264,0,0.0011884,0.0011884,0.0011884
89,2829.85,1.27544,1.19292,2.71074,0.01402,0.47342,0.79137,0.6989,0.73166,0.38885,0.78635,0.72304,0.71868,0.36564,1.58426,1.41117,3.86961,0.02191,0,0.0011829,0.0011829,0.0011829
90,2870.24,1.27811,1.13642,2.73504,0.01346,0.45408,0.78881,0.6803,0.72081,0.38389,0.81059,0.68759,0.74122,0.38261,1.59957,1.41231,3.68019,0.02271,0,0.0011774,0.0011774,0.0011774
91,2912.21,1.25138,1.18407,2.64863,0.01362,0.48028,0.77293,0.68066,0.73123,0.40452,0.80384,0.68044,0.73961,0.39627,1.57715,1.42003,3.96588,0.02215,0,0.0011719,0.0011719,0.0011719
92,2955.13,1.2214,1.14519,2.7456,0.01289,0.46259,0.765,0.64049,0.70336,0.37943,0.77974,0.65772,0.71435,0.37655,1.58646,1.47992,3.90416,0.02425,0,0.0011664,0.0011664,0.0011664
93,3049.78,1.21335,1.12077,2.53985,0.01265,0.45457,0.77269,0.65509,0.70836,0.37303,0.77696,0.72937,0.73581,0.38705,1.55198,1.44972,3.73991,0.0234,0,0.0011609,0.0011609,0.0011609
94,3090.7,1.21953,1.18022,2.5732,0.01301,0.44203,0.74951,0.66193,0.70479,0.38723,0.76461,0.68882,0.73024,0.39037,1.50289,1.44613,4.02815,0.02126,0,0.0011554,0.0011554,0.0011554
95,3122.59,1.17791,1.16021,2.40604,0.01332,0.44022,0.76451,0.71854,0.74245,0.39564,0.78825,0.72007,0.71542,0.36516,1.49509,1.37675,3.59459,0.02176,0,0.0011499,0.0011499,0.0011499
96,3168.22,1.2534,1.14637,2.51597,0.01284,0.44753,0.77029,0.68221,0.72559,0.39156,0.78871,0.70365,0.74002,0.36845,1.53103,1.36534,3.64464,0.02027,0,0.0011444,0.0011444,0.0011444
97,3221.57,1.20315,1.1806,2.4847,0.01255,0.46202,0.79609,0.65,0.69045,0.38293,0.78368,0.66626,0.71385,0.38319,1.55357,1.37651,3.77701,0.02035,0,0.00113889,0.00113889,0.00113889
98,3276.27,1.21635,1.09917,2.46113,0.01316,0.43241,0.78573,0.6699,0.71399,0.38212,0.80252,0.68714,0.73105,0.38273,1.7059,1.39622,3.58446,0.02339,0,0.00113339,0.00113339,0.00113339
99,3304.78,1.25206,1.09259,2.43173,0.01253,0.45581,0.82632,0.73357,0.76024,0.39731,0.80225,0.72118,0.73508,0.39113,1.53552,1.47705,3.54421,0.02315,0,0.00112789,0.00112789,0.00112789
100,3332.46,1.23752,1.09292,2.46973,0.01269,0.42705,0.80386,0.7221,0.75708,0.39412,0.81367,0.7325,0.76134,0.39261,1.53098,1.43199,3.47081,0.02184,0,0.00112239,0.00112239,0.00112239
101,3362.5,1.19575,1.17632,2.45184,0.01192,0.44797,0.74973,0.72269,0.7305,0.40001,0.77578,0.75501,0.75001,0.3943,1.44604,1.48925,3.64423,0.02131,0,0.00111689,0.00111689,0.00111689
102,3396.21,1.21896,1.11282,2.44263,0.01212,0.4698,0.73449,0.66564,0.69671,0.36783,0.7666,0.69937,0.72281,0.3682,1.55899,1.44674,3.68558,0.02255,0,0.00111139,0.00111139,0.00111139
103,3424.3,1.24824,1.13494,2.38824,0.01218,0.45768,0.76506,0.67011,0.72041,0.38312,0.77491,0.68315,0.71715,0.3683,1.59995,1.48149,3.58367,0.02301,0,0.00110589,0.00110589,0.00110589
104,3451.96,1.24743,1.19922,2.50693,0.01255,0.43333,0.82238,0.68179,0.73939,0.38716,0.83205,0.67319,0.72276,0.39453,1.56101,1.45516,3.40928,0.02174,0,0.00110039,0.00110039,0.00110039
105,3480.65,1.22417,1.16507,2.4934,0.01258,0.4332,0.75311,0.67652,0.72205,0.41553,0.77288,0.71676,0.73827,0.40276,1.46354,1.49627,3.44637,0.02113,0,0.00109489,0.00109489,0.00109489
106,3508.87,1.20033,1.07532,2.43778,0.01195,0.46109,0.76082,0.71676,0.74585,0.40268,0.78349,0.7402,0.76203,0.4008,1.51811,1.56126,3.49236,0.02193,0,0.00108938,0.00108938,0.00108938
107,3536.56,1.15651,1.11175,2.36429,0.01178,0.47398,0.74614,0.72296,0.72891,0.39487,0.77362,0.74838,0.74336,0.39145,1.5453,1.53973,3.41272,0.02347,0,0.00108388,0.00108388,0.00108388
108,3564.26,1.15042,1.02049,2.24284,0.01223,0.41277,0.72925,0.67812,0.69358,0.38622,0.784,0.68162,0.71014,0.37779,1.60857,1.36866,3.5352,0.02292,0,0.00107838,0.00107838,0.00107838
109,3591.98,1.11597,1.06918,2.30777,0.01222,0.41578,0.76758,0.65673,0.67135,0.40522,0.80874,0.67709,0.70534,0.39599,1.38966,1.44594,4.11284,0.01898,0,0.00107288,0.00107288,0.00107288
110,3619.43,1.1486,1.0233,2.23038,0.01207,0.39032,0.75304,0.70345,0.71077,0.39495,0.78469,0.72742,0.73203,0.3769,1.54159,1.48022,3.73817,0.02214,0,0.00106738,0.00106738,0.00106738
111,3647.37,1.16184,1.15127,2.41452,0.01238,0.49215,0.78705,0.71941,0.73569,0.40422,0.79287,0.7134,0.73686,0.39652,1.56464,1.50392,3.29956,0.02242,0,0.00106188,0.00106188,0.00106188
112,3675.2,1.10226,1.0923,2.31029,0.01155,0.41873,0.75602,0.6825,0.71959,0.40044,0.75695,0.68692,0.73229,0.37821,1.48784,1.50741,3.4973,0.02026,0,0.00105638,0.00105638,0.00105638
113,3703.16,1.13302,1.06832,2.16612,0.01242,0.44134,0.72823,0.70713,0.72811,0.39677,0.79479,0.67852,0.72067,0.39214,1.47851,1.40514,3.63857,0.02011,0,0.00105088,0.00105088,0.00105088
114,3730.84,1.14764,1.07064,2.44125,0.01195,0.40814,0.71774,0.72296,0.69921,0.39674,0.73049,0.73357,0.72172,0.37218,1.47885,1.49806,3.69891,0.01997,0,0.00104538,0.00104538,0.00104538
115,3758.22,1.11731,1.04725,2.28157,0.01133,0.37677,0.76283,0.71035,0.727,0.38731,0.77472,0.72317,0.72709,0.36819,1.44538,1.45393,3.45371,0.02058,0,0.00103987,0.00103987,0.00103987
116,3785.75,1.13985,1.01265,2.26119,0.01149,0.39248,0.80403,0.72558,0.74362,0.40211,0.84279,0.73674,0.75291,0.39499,1.49105,1.46917,3.25239,0.02227,0,0.00103437,0.00103437,0.00103437
